AVG,OBP,SLG,OPS,BB%,K%,ISO,LD%,Pull%,EV,LA,Barrel%,HardHit%,maxEV,Contact%,HR,R,RBI
0.274,0.355960264,0.459357277,0.815317541,0.092715231,0.281456953,0.185255198,0.17906336,0.41208791,89.87748629,7.631029389,0.08241758,0.42032967,112.566,0.69202566,20,94,69
0.274,0.338235294,0.435571687,0.773806981,0.057096247,0.153344208,0.161524501,0.214285714,0.38311688,87.59140282,10.06744799,0.05399568,0.36285097,110.405,0.82226057,20,65,83
0.274,0.34117647,0.448405253,0.789581723,0.087248322,0.24328859,0.174484053,0.221374045,0.33842239,89.10029695,14.11461406,0.12436548,0.41370558,111.587,0.71774194,16,76,62
0.274,0.362701908,0.466216216,0.828918124,0.108504398,0.214076246,0.192567568,0.198218262,0.34146341,91.84103563,12.15539524,0.09534368,0.4767184,111.971,0.80813953,24,89,68
0.274,0.346283783,0.558490566,0.904774349,0.096283783,0.226351351,0.284905661,0.195979899,0.4321608,91.78968395,15.61846369,0.16582915,0.48994975,115.334,0.7486911,40,84,100
0.273,0.34672619,0.453020134,0.799746324,0.09970238,0.145833333,0.179530202,0.211155378,0.36580517,89.7301023,15.0595937,0.07936508,0.40277778,112.391,0.80759903,25,90,68
0.273,0.349206349,0.528455284,0.877661633,0.082251082,0.242424242,0.255284553,0.235033259,0.41463415,92.47894097,12.94782753,0.15742794,0.50776053,115.881,0.74449339,38,90,93
0.273,0.327067669,0.371663244,0.698730913,0.075046904,0.131332082,0.098562628,0.161904761,0.30094787,85.72280577,-4.410760177,0.02132701,0.31516588,109.888,0.86991063,6,69,50
0.273,0.355855855,0.518771331,0.874627186,0.108108108,0.241741741,0.245733789,0.197647058,0.37149533,92.92500919,12.08633617,0.1682243,0.49766355,119.074,0.74322169,34,90,95
0.273,0.338192419,0.37641357,0.714605989,0.084425036,0.165938864,0.103392569,0.236111111,0.30392157,86.26862083,9.797017983,0.02352941,0.30392157,110.456,0.86634067,9,89,54
0.273,0.315789473,0.543548387,0.85933786,0.042105263,0.255639097,0.270967742,0.226872246,0.469163,93.01401604,15.8596342,0.16299559,0.55947137,114.415,0.68607955,48,88,121
